time="2022-02-25T23:26:19Z" level=info msg="nsp.nspOsIP :thalesnsp.ion.de.alcatel-lucent.com"
time="2022-02-25T23:26:19Z" level=info msg="nsp.nspIprcIP :thalesnsp.ion.de.alcatel-lucent.com"
time="2022-02-25T23:26:19Z" level=info msg="nsp.Username :admin"
time="2022-02-25T23:26:19Z" level=info msg="nsp.Password :NokiaNsp1!"
time="2022-02-25T23:26:19Z" level=info msg="nsp.linetoken :DefaultLineTokenValue"
time="2022-02-25T23:26:19Z" level=info msg="YWRtaW46Tm9raWFOc3AxIQ=="
time="2022-02-25T23:26:20Z" level=info msg="get token is success: true"
time="2022-02-25T23:26:20Z" level=info msg="nsp.linetoken_NEW :VEtOLWFkbWluZWUxMTU3MDctNmU0ZC00MGVjLTk2NmMtZDFjYTZkZGI0YTZm"
time="2022-02-25T23:26:22Z" level=info msg="Number of Targeted NE: 300"
time="2022-02-25T23:26:22Z" level=info msg="Payload Size(bytes): 233652"
time="2022-02-25T23:26:22Z" level=info msg="Start Time Concurrent Request: 2022-02-25 23:26:22.395645646 +0000 UTC m=+2.839949428"
time="2022-02-25T23:26:22Z" level=info msg="Number of Concurrent Requests: 300"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.12 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.135 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.47 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.6 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.94 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.101 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.3 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.107 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.170 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.171 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.11 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.162 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.138 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.4 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.2 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.95 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.49 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.111 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.3 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.99 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.117 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.7 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.30.89 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.12 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.8 via :8548/mdm-config-app/proxy/v1/restconf/"
time="2022-02-25T23:26:22Z" level=info msg="Sending Request: 10.6.31.45 via :8548/mdm-config-app/proxy/v1/restconf/"
